Date,Carbon
1989-03,353.54
1989-04,355.27
1989-05,355.52
1989-06,354.97
1989-07,353.74
1989-08,351.51
1989-09,349.63
1989-10,349.82
1989-11,351.12
1989-12,352.35
1990-01,353.47
1990-02,354.51
1990-03,355.18
1990-04,355.98
1990-05,356.94
1990-06,355.99
1990-07,354.58
1990-08,352.68
1990-09,350.72
1990-10,350.92
1990-11,352.55
1990-12,353.91
